국명,과명,과국명,학명
글로불라리아 코르디폴리아,Globulariaceae,글로불라리아과,Globularia cordifolia L.
글로불라리아 트리코산타,Globulariaceae,글로불라리아과,Globularia trichosantha Fisch. & C.A.Mey.
글로불라리아 풍크타타,Globulariaceae,글로불라리아과,Globularia punctata Lapeyr.
글로불루스유카리,Myrtaceae,도금양과,Eucalyptus globulus Labill.
글로티필룸 하아게이,Aizoaceae,번행초과,Glottiphyllum haagei Tischer
글록시니아,Gesneriaceae,게스네리아과,Sinningia speciosa (Lodd.) Hiern.
글립토스트로부스 리네아투스,Taxodiaceae,낙우송과,Glyptostrobus lineatus (Poir.) Druce
금강가물고사리,Woodsiaceae,우드풀과,Woodsia microsora Kodama
금강고사리,Dryopteridaceae,관중과,Dryopteris austriaca (Jacq.) Woyn. ex Schinz & Thell. var. subopposita H.Itô
금강봄맞이,Primulaceae,앵초과,Androsace cortusifolia Nakai
금강분취,Asteraceae,국화과,Saussurea diamantiaca Nakai
금강비비추,Liliaceae,백합과,Hosta clausa Nakai var. geumgangensis M.Kim & H.Jo
금강산뚝사초,Cyperaceae,사초과,Carex forficula Franch. & Sav. var. scabrida Kük.
금강아지풀,Poaceae,벼과,Setaria pumila (Poir.) Roem. & Schult.
금강애기나리,Liliaceae,백합과,Streptopus ovalis (Ohwi) F.T.Wang & Y.C.Tang
금강인가목,Rosaceae,장미과,Pentactina rupicola Nakai
금강제비꽃,Violaceae,제비꽃과,Viola diamantiaca Nakai
금강처녀이끼,Hymenophyllaceae,처녀이끼과,Hymenophyllum oligosorum Makino
금강초롱꽃,Campanulaceae,초롱꽃과,Hanabusaya asiatica (Nakai) Nakai
금강포아풀,Poaceae,벼과,Poa kumgansanii Ohwi
금계국,Asteraceae,국화과,Coreopsis basalis (A.Dietr.) S.F.Blake.
금계국 '라임록 패션',Asteraceae,국화과,Coreopsis 'Limerock Passion'
금계국 '스테른테일러',Asteraceae,국화과,Coreopsis 'Sterntaler'
금계국 '칼립소',Asteraceae,국화과,Coreopsis 'Calypso'
금계국 '테킬라 선라이즈',Asteraceae,국화과,Coreopsis 'Tequila Sunrise'
금관룡선인장,Cactaceae,선인장과,Ferocactus chrysacanthus (Orcutt) Britton & Rose
금관선인장,Cactaceae,선인장과,Eriocactus schumannianus (Nicolai) Backeb.
금관화,Asclepiadaceae,,Asclepias curassavica L.
금꿩의다리,Ranunculaceae,미나리아재비과,Thalictrum rochebruneanum Franch. & Sav.
금나리,Liliaceae,백합과,Lilium tenuifolium Fisch. ex Hook.f. f. chrysanthum (Nakai & F.Maek.) M.Kim
금난초,Orchidaceae,난초과,Cephalanthera falcata (Thunb.) Blume
금낭화,Papaveraceae,양귀비과,Dicentra spectabilis (L.) Lem.
금노랑바람꽃,Ranunculaceae,미나리아재비과,Anemone ranunculoides L.
금떡쑥,Asteraceae,국화과,Pseudognaphalium hypoleucum (DC.) Hilliard & B.L.Burtt
금룡선인장,Cactaceae,선인장과,Echinocereus blanckii var. berlandieri (Poselg.) Backeb.
금마타리,Valerianaceae,마타리과,Patrinia saniculifolia Hemsl.
금매발톱꽃,Ranunculaceae,미나리아재비과,Aquilegia chrysantha A.Gray
금매발톱꽃 '옐로 스타',Ranunculaceae,미나리아재비과,Aquilegia chrysantha 'Yellow Star'
금매발톱꽃 '옐로 퀸',Ranunculaceae,미나리아재비과,Aquilegia chrysantha 'Yellow Queen'
금매화,Ranunculaceae,미나리아재비과,Trollius ledebourii Rchb.
금목서,Oleaceae,물푸레나무과,Osmanthus fragrans (Thunb.) Lour. var. aurantiacus Makino
금발사초,Cyperaceae,사초과,Carex albula Allan
금방동사니,Cyperaceae,사초과,Cyperus microiria Steud.
금방망이,Asteraceae,국화과,Senecio nemorensis L.
금백,Cupressaceae,측백나무과,Chamaecyparis lawsoniana (A.Murray) Parl.
금백 '미니마 아우레아',Cupressaceae,측백나무과,Chamaecyparis lawsoniana 'Minima Aurea'
금백 '미니마',Cupressaceae,측백나무과,Chamaecyparis lawsoniana 'Minima'
금백 '블루 서프라이즈',Cupressaceae,측백나무과,Chamaecyparis lawsoniana 'Blue Surprise'
금백 '스테와르티',Cupressaceae,측백나무과,Chamaecyparis lawsoniana 'Stewartii'
금백 '실버 팁',Cupressaceae,측백나무과,Chamaecyparis lawsoniana 'Silver Tip'
금백 '알루미',Cupressaceae,측백나무과,Chamaecyparis lawsoniana 'Alumii'
금백 '엘워오디',Cupressaceae,측백나무과,Chamaecyparis lawsoniana 'Ellwoodii'
금백 '와렝가',Cupressaceae,측백나무과,Chamaecyparis lawsoniana 'Warenga'
금백 '윈스턴 처칠',Cupressaceae,측백나무과,Chamaecyparis lawsoniana 'Winston Churchill'
금백 '킬마쿠라프',Cupressaceae,측백나무과,Chamaecyparis lawsoniana 'Kilmacurragh'
금백 '펨버리 블루',Cupressaceae,측백나무과,Chamaecyparis lawsoniana 'Pembury Blue'
금백 '포르스테켄시스',Cupressaceae,측백나무과,Chamaecyparis lawsoniana 'Forsteckensis'
금불초,Asteraceae,국화과,Inula japonica Thunb.
금붓꽃,Iridaceae,붓꽃과,Iris minutoaurea Makino
금사슬나무,Fabaceae,콩과,Laburnum anagyroides Medik.
금새우난초,Orchidaceae,난초과,Calanthe sieboldii Decne. ex Regel
금선도깨비고비,Dryopteridaceae,관중과,Cyrtomium lactevirens (Hiyama) Nakaike
금성선인장,Cactaceae,선인장과,Dolichothele longimamma (DC.) Britton & Rose
금소리쟁이,Polygonaceae,마디풀과,Rumex maritimus L.
금송,Sciadopityaceae,금송과,Sciadopitys verticillata (Thunb.) Siebold & Zucc.
금수옥선인장,Cactaceae,선인장과,Parodia aureispina Backeb.
금식나무,Cornaceae,층층나무과,Aucuba japonica f. variegata (Dombrain) Rehder
금쑥,Asteraceae,국화과,Artemisia aurata Kom.
금어초,Scrophulariaceae,현삼과,Antirrhinum majus L.
금억새,Poaceae,벼과,Miscanthus sinensis Andersson f. chejuensis (Y.N.Lee) M.Kim
금영화,Papaveraceae,양귀비과,Eschscholzia californica Cham.
금오모자선인장,Cactaceae,선인장과,Opuntia microdasys (Lehm.) Pfeiff.
금오족도리풀,Aristolochiaceae,쥐방울덩굴과,"Asarum patens (Yamaki) Y.N.Lee ex B.U.Oh, D.G.Jo, K.S.Kim & C.G.Jang"
금유선인장,Cactaceae,선인장과,Disocactus flagelliformis (L.) Barthlott
금자란,Orchidaceae,난초과,Gastrochilus matsuran (Makino) Schltr.
금자반야선인장,Cactaceae,선인장과,Astrophytum ornatum var. mirbelii (Lem.) Frič
금잔디,Poaceae,벼과,Zoysia matrella (L.) Merr.
금잔화,Asteraceae,국화과,Calendula arvensis (Vaill.) L.
금전송,Pinaceae,소나무과,Pseudolarix amabilis (J.Nelson) Rehd.
금전초,Araceae,천남성과,Zamioculcas zamiifolia Engl.
금접,Crassulaceae,돌나물과,Kalanchoe delagoensis Eckl. & Zeyh.
금족제비고사리,Dryopteridaceae,관중과,Dryopteris gymnophylla (Baker) C.Chr.
금창초,Lamiaceae,꿀풀과,Ajuga decumbens Thunb.
금털고사리,Hypodematiaceae,금털고사리과,Hypodematium glanduloso-pilosum (Tagawa) Ohwi
금테줄사철나무,Celastraceae,노박덩굴과,Euonymus fortunei var. radicans 'Aureo-Marginata'
금협초령목,Magnoliaceae,목련과,Magnolia foveolata (Merr. ex Dandy) Figlar
금호선인장,Cactaceae,선인장과,Echinocactus grusonii Hildm.
금혼초,Asteraceae,국화과,Hypochaeris ciliata (Thunb.) Makino
금환선인장,Cactaceae,선인장과,Mammillaria spinosissima Lem.
금황환선인장,Cactaceae,선인장과,Eriocactus lenninghausii (F.Haage) Backeb. ex Jul. Schäff.
기간테우스억새,Poaceae,벼과,"Miscanthus × giganteus J.M.Greef, Deuter ex Hodk., Renvoize"
기누라,Asteraceae,국화과,Gynura bicolor (Roxb. ex Willd.) DC.
기는괭이눈,Saxifragaceae,범의귀과,Chrysosplenium epigealum J.W.Han & S.H.Kang
기는까막까치밥나무,Grossulariaceae,까치밥나무과,Ribes laxiflorum Pursh
기는미나리아재비,Ranunculaceae,미나리아재비과,Ranunculus repens L.
기는바위장대,Brassicaceae,배추과,Arabis procurrens Waldst. & Kit.
기는바위장대 '글레이셔',Brassicaceae,배추과,Arabis procurrens 'Glacier'
기는바위장대 '바리에가타',Brassicaceae,배추과,Arabis procurrens 'Variegata'
기는방패꽃,Scrophulariaceae,현삼과,Veronica repens DC.
기니아구아바,Myrtaceae,도금양과,Psidium guineense Sw.
기란디작살나무,Verbenaceae,마편초과,Callicarpa giraldii Hesse ex Rehder
기란디작살나무 '프로퓨전',Verbenaceae,마편초과,Callicarpa giraldii 'Profusion'
기랄디작살나무 '프로퓨전',Verbenaceae,마편초과,Callicarpa bodinieri var. giraldii 'Profusion'
기름골,Cyperaceae,사초과,Cyperus esculentus L.
기름나물,Apiaceae,산형과,Peucedanum terebinthaceum (Fisch. ex Trevir.) Fisch. ex Turcz.
기름당귀,Apiaceae,산형과,Ligusticum scoticum L. subsp. hultenii (Fernald) Calder & Roy L.Taylor
기름새,Poaceae,벼과,Spodiopogon cotulifer (Thunb.) Hack.
기린초,Crassulaceae,돌나물과,Phedimus kamtschaticus (Fisch. & C.A.Mey.) 't Hart
기바시스 펠루키다,Commelinaceae,닭의장풀과,Gibasis pellucida (M.Martens & Galeotti) D.R.Hunt
기붐새깃아재비,Blechnaceae,새깃아재비과,Blechnum gibbum Mett.
기생꽃,Primulaceae,앵초과,Trientalis europaea L. var. arctica (Fisch. ex Hook.) Ledeb.
기생여뀌,Polygonaceae,마디풀과,Persicaria viscosa (Buch.-Ham. ex D.Don) H.Gross ex T.Mori
기생초,Asteraceae,국화과,Coreopsis tinctoria Nutt.
기수초,Chenopodiaceae,명아주과,Suaeda malacosperma H.Hara
기장,Poaceae,벼과,Panicum miliaceum L.
기장대풀,Poaceae,벼과,Isachne globosa (Thunb.) Kuntze
기쿠티비비추,Liliaceae,백합과,Hosta kikutii F. Maegawa var. caput-avis F. Maegawa
긴갈색청사초,Cyperaceae,사초과,Carex stenostachys Franch. & Sav. var. cuneata (Ohwi) Ohwi & T.Koyama
긴갓냉이,Brassicaceae,배추과,Sisymbrium orientale L.
긴개관중,Dryopteridaceae,관중과,Polystichum tagawanum Sa.Kurata
긴개별꽃,Caryophyllaceae,석죽과,Pseudostellaria japonica (Korsh.) Pax
긴개싱아,Polygonaceae,마디풀과,Aconogonon ajanense (Regel & Tiling) H.Hara
긴갯금불초,Asteraceae,국화과,Wedelia calendulacea (L.) Less.
긴겨이삭,Poaceae,벼과,Agrostis scabra Willd.
긴그늘사초,Cyperaceae,사초과,Carex callitrichos V.I.Krecz.
긴까락보리풀,Poaceae,벼과,Hordeum jubatum L.
긴까락빕새귀리,Poaceae,벼과,Bromus rigidus Roth
긴꼬리쐐기풀,Urticaceae,쐐기풀과,Urtica angustifolia Fisch. ex Hornem. var. sikokiana (Makino) Ohwi
긴꼬리제비꽃,Violaceae,제비꽃과,Viola inconspicua Blume
긴꽃고사리삼,Ophioglossaceae,고사리삼과,Botrychium strictum Underw.
긴꽃대황기,Fabaceae,콩과,Astragalus schelichowii Turcz.
긴꽃며느리밥풀,Scrophulariaceae,현삼과,Melampyrum koreanum K.J.Kim & S.-M.Yun
긴꽃뽀리뱅이,Asteraceae,국화과,Youngia japonica (L.) DC. subsp. longiflora Babc. & Stebbins
긴네모골,Cyperaceae,사초과,Eleocharis × yezoensis H.Hara
긴다람쥐꼬리,Lycopodiaceae,석송과,Huperzia jejuensis B.-Y.Sun & J.Lim
긴담배풀,Asteraceae,국화과,Carpesium divaricatum Siebold & Zucc.
긴당잔대,Campanulaceae,초롱꽃과,Adenophora stricta Miq. var. lancifolia Honda
긴도둑놈의갈고리,Fabaceae,콩과,Hylodesmum podocarpum (DC.) H.Ohashi & R.R.Mill subsp. fallax (Schindl.) H.Ohashi & R.R.Mill
긴동아물수세미,Haloragaceae,개미탑과,Myriophyllum oguraense Miki
긴뚝갈,Valerianaceae,마타리과,Patrinia monandra C.B.Clarke
긴매자잎버들,Salicaceae,버드나무과,Salix berberifolia Pall. var. brayi (Ledeb.) Trautv. ex Herder
긴목포사초,Cyperaceae,사초과,Carex formosensis H.Lév. & Vaniot
긴미꾸리낚시,Polygonaceae,마디풀과,Persicaria hastatosagittata (Makino) Nakai ex T.Mori
긴방울고랭이,Cyperaceae,사초과,Scirpus wichurae Boeck. f. cylindricus (Makino) Nemoto
긴병꽃풀,Lamiaceae,꿀풀과,Glechoma longituba (Nakai) Kuprian.
긴분취,Asteraceae,국화과,Saussurea recurvata (Maxim.) Lipsch.
긴사상자,Apiaceae,산형과,Osmorhiza aristata (Thunb.) Rydb.
긴산꼬리풀,Scrophulariaceae,현삼과,Pseudolysimachion longifolium (L.) Opiz
긴산취,Asteraceae,국화과,Saussurea umbrosa Kom. var. herbicola Nakai
긴서어나무,Betulaceae,자작나무과,Carpinus laxiflora (Siebold & Zucc.) Blume var. longispica Uyeki
긴쇠털골,Cyperaceae,사초과,Eleocharis yokoscensis (Franch. & Sav.) Tang & F.T.Wang
긴쑥부쟁이,Asteraceae,국화과,Aster hispidus Thunb. var. leptocladus (Makino) Ito & Soejima
긴영주풀,Triuridaceae,영주풀과,Sciaphila secundiflora Thwaites ex Benth.
긴오이풀,Rosaceae,장미과,Sanguisorba longifolia Bertol.
긴옥잠화,Liliaceae,백합과,Hosta plantaginea var. japonica Kikuti & F.Maek.
긴왕포아풀,Poaceae,벼과,Poa angustifolia L.
긴은털새,Poaceae,벼과,Aira elegans Wild. ex Roem. & Schult.
긴이삭비름,Amaranthaceae,비름과,Amaranthus palmeri S.Watson
긴잎갈퀴,Rubiaceae,꼭두서니과,Galium boreale L.
긴잎곰취,Asteraceae,국화과,Ligularia jaluensis Kom.
긴잎꿩의다리,Ranunculaceae,미나리아재비과,Thalictrum simplex L. var. brevipes H.Hara
긴잎끈끈이주걱,Droseraceae,끈끈이귀개과,Drosera anglica Huds.
긴잎나비나물,Fabaceae,콩과,Vicia unijuga A.Braun f. angustifolia Makino ex Ohwi
긴잎다정큼,Rosaceae,장미과,Rhaphiolepis indica (L.) Lindl. ex Ker var. liukiuensis (Koidz.) Kitam.
긴잎단풍딸기,Rosaceae,장미과,Rubus palmatus Thunb.
긴잎달맞이꽃,Onagraceae,바늘꽃과,Oenothera stricta Ledeb. ex Link
긴잎달맞이꽃 '술푸레아',Onagraceae,바늘꽃과,Oenothera stricta 'Sulphurea'
긴잎도깨비쇠고비,Dryopteridaceae,관중과,Cyrtomium devexiscapulae (Koidz.) Koidz. & Ching
긴잎동백나무,Theaceae,차나무과,Camellia japonica f. longifolia Uyeki
긴잎떡버들,Salicaceae,버드나무과,Salix hallaisanensis H.Lév. var. longifolia Nakai
긴잎말발도리 '베이트키',Hydrangeaceae,수국과,Deutzia longifolia 'Veitchii'
긴잎모시풀,Urticaceae,쐐기풀과,Boehmeria sieboldiana Blume
긴잎미나리아재비,Ranunculaceae,미나리아재비과,Ranunculus amurensis Kom.
긴잎별꽃,Caryophyllaceae,석죽과,Stellaria longifolia Muhl. ex Willd.
긴잎산박하,Lamiaceae,꿀풀과,Isodon inflexus (Thunb.) Kudô var. transticus Matsum. & Kudô
긴잎아카시아,Mimosaceae,,Acacia longifolia (Andrews) Willd.
긴잎여로,Liliaceae,백합과,Veratrum maackii Regel
긴잎여우버들,Salicaceae,버드나무과,Salix xerophila Flod. f. manshurica (Siuzew) Kitag.
긴잎장다리풀,Chenopodiaceae,명아주과,Corispermum elongatum Bunge ex Maxim.
긴잎제비꽃,Violaceae,제비꽃과,Viola ovato-oblonga (Miq.) Makino
긴잎조팝나무,Rosaceae,장미과,Spiraea media Schmidt
긴잎쥐오줌풀,Valerianaceae,마타리과,Valeriana dageletiana Nakai ex F.Maek. var. integra (Nakai) Nakai ex F.Maek.
긴잎풀모나리아 '마제스트',Boraginaceae,지치과,Pulmonaria longifolia 'Majeste'
긴잎풀모나리아 '이 비 앤더슨',Boraginaceae,지치과,Pulmonaria longifolia 'E. B. Anderson'
긴자루개박하,Lamiaceae,꿀풀과,Nepeta longipes Hort.
긴제비꿀,Santalaceae,단향과,Thesium refractum C.A.Mey.
긴주걱고사리,Pteridaceae,봉의꼬리과,Antrophyum obovatum Baker
긴진들피,Poaceae,벼과,Glyceria arundinacea Kunth
긴콩짜개덩굴,Polypodiaceae,고란초과,Lemmaphyllum microphyllum C.Presl var. obovatum (Harr.) C.Chr.
긴털댕강나무,Caprifoliaceae,인동과,"Zabelia densipila M.-P.Hong, Y.C.Kim & B.Y.Lee"
긴털비름,Amaranthaceae,비름과,Amaranthus hybridus L.
긴털참새귀리,Poaceae,벼과,Bromus alopecuros Poir.
긴포꽃질경이,Plantaginaceae,질경이과,Plantago aristata Michx.
긴호모초,Chenopodiaceae,명아주과,Corispermum declinatum Steph. ex Iljin
긴화살사초,Cyperaceae,사초과,Carex benkei Tak.Shimizu
긴화살여뀌,Polygonaceae,마디풀과,Persicaria breviochreata (Makino) Ohki
긴흑삼릉,Typhaceae,부들과,Sparganium japonicum Rothert
긴흰털새,Poaceae,벼과,Holcus mollis L.
길골풀,Juncaceae,골풀과,Juncus tenuis Willd.
길다닥냉이,Brassicaceae,배추과,Lepidium densiflorum Schrad.
길뚝개꽃,Asteraceae,국화과,Anthemis arvensis L.
길뚝사초,Cyperaceae,사초과,Carex bostrychostigma Maxim.
길레니아 트리폴리아타,Rosaceae,장미과,Gillenia trifoliata (L.) Moench
길리아 카피타타,Polemoniaceae,꽃고비과,Gilia capitata Sims
길마가지나무,Caprifoliaceae,인동과,Lonicera harae Makino
길상천용설란,Agavaceae,용설란과,Agave parryi Engelm.
김노스토마 아우스트랄리아눔,Casuarinaceae,카수아리나과,Gymnostoma australianum L.A.S.Johnson
김노스페르미움 알베르티,Berberidaceae,매자나무과,Gymnospermium albertii (Regel) Takht.
김노클라두스 디오이쿠스,Fabaceae,콩과,Gymnocladus dioicus K. Koch
김의난초,Orchidaceae,난초과,Cephalanthera longifolia (L.) Fritsch
김의털,Poaceae,벼과,Festuca ovina L.
김의털아재비,Poaceae,벼과,Festuca parvigluma Steud.
깁바이움 하아게이,Aizoaceae,번행초과,Gibbaeum haagei Schwantes
깁바이움 헤아티,Aizoaceae,번행초과,Gibbaeum heathii (N.E.Br.) L.Bolus
깃고사리,Aspleniaceae,꼬리고사리과,Asplenium normale D.Don
깃도깨비부채,Saxifragaceae,범의귀과,Rodgersia pinnata Franch.
깃도깨비부채 '수페르바',Saxifragaceae,범의귀과,Rodgersia pinnata 'Superba'
깃돌잔고사리,Dennstaedtiaceae,잔고사리과,Microlepia marginata (Panz.) C.Chr. var. bipinnata Makino
깃반쪽고사리,Pteridaceae,봉의꼬리과,Pteris terminalis Wall. ex J.Agardh
깃주름고사리,Athyriaceae,개고사리과,Diplazium mettenianum (Miq.) C.Chr.
깃털장대,Brassicaceae,배추과,Sisymbrium irio L.
까락겨사초,Cyperaceae,사초과,Carex mitrata Franch. var. aristata Ohwi
까락골,Cyperaceae,사초과,Eleocharis valleculosa Ohwi var. setosa Ohwi
까락빕새귀리,Poaceae,벼과,Bromus sterilis L.
까락향기풀,Poaceae,벼과,Anthoxanthum odoratum L. subsp. nipponicum (Honda) Tzvelev
까마귀머루,Vitaceae,포도과,Vitis heyneana Roem. & Schult. subsp. ficifolia (Bunge) C.L.Li
까마귀밥나무,Grossulariaceae,까치밥나무과,Ribes fasciculatum Siebold & Zucc. var. chinense Maxim.
까마귀베개,Rhamnaceae,갈매나무과,Rhamnella franguloides (Maxim.) Weberb.
까마귀쪽나무,Lauraceae,녹나무과,Litsea japonica (Thunb.) Juss.
까마중,Solanaceae,가지과,Solanum nigrum L.
까막까치밥나무,Grossulariaceae,까치밥나무과,Ribes ussuriense Jancz.
까막딸기산사나무,Rosaceae,장미과,Crataegus chlorosarca Maxim.
까막매발톱꽃,Ranunculaceae,미나리아재비과,Aquilegia atrata Koch
까막매자나무,Berberidaceae,매자나무과,Berberis atrocarpa C.K.Schneid.
까막바늘까치밥나무,Grossulariaceae,까치밥나무과,Ribes horridum Rupr. ex Maxim.
까실매자나무,Berberidaceae,매자나무과,Berberis aristata DC.
까실삼지구엽초,Berberidaceae,매자나무과,Epimedium × setosum Koidz.
까실쑥부쟁이,Asteraceae,국화과,Aster ageratoides Turcz.
까실조밥나물,Asteraceae,국화과,Hieracium villosum Jacq.
까실천인국,Asteraceae,국화과,Gaillardia aristata Pursh
까치고들빼기,Asteraceae,국화과,Crepidiastrum chelidoniifolium (Makino) J.H.Pak & Kawano
까치깨,Tiliaceae,피나무과,Corchoropsis tomentosa (Thunb.) Makino var. psilocarpa (Harms & Loes. ex Gilg & Loes.) C.Y.Wu & Y.Tang
까치박달,Betulaceae,자작나무과,Carpinus cordata Blume
까치발,Asteraceae,국화과,Bidens parviflora Willd.
까치밥나도국수나무,Rosaceae,장미과,Neillia ribesioides Rehder
까치밥나무,Grossulariaceae,까치밥나무과,Ribes mandshuricum (Maxim.) Kom.
까치수염,Primulaceae,앵초과,Lysimachia barystachys Bunge
까치숫잔대 '러시안 프린세스',Campanulaceae,초롱꽃과,Lobelia × speciosa 'Russian Princess'
까치숫잔대 '루비 슬리퍼스',Campanulaceae,초롱꽃과,Lobelia × speciosa 'Ruby Slippers'
까칠니포피아 '파이어 댄스',Liliaceae,백합과,Kniphofia hirsuta 'Fire Dance'
까칠하늘바라기 '조머손',Asteraceae,국화과,Heliopsis helianthoides var. scabra 'Sommersonne'
깍지바이올렛세이지,Lamiaceae,꿀풀과,Salvia amplexicaulis Lam.
깔끔좁쌀풀,Scrophulariaceae,현삼과,Euphrasia coreana W.Becker
깨꽃,Lamiaceae,꿀풀과,Salvia splendens Sellow ex Nees
깨풀,Euphorbiaceae,대극과,Acalypha australis L.
깽깽이풀,Berberidaceae,매자나무과,Jeffersonia dubia (Maxim.) Benth. & Hook.f. ex Baker & Moore
껄껄이풀,Asteraceae,국화과,Hieracium coreanum Nakai
껄끔방동사니,Cyperaceae,사초과,Pycreus diaphanus (Schrad. ex Roem. & Schult.) S.S.Hooper & T.Koyama
껍질용수염,Poaceae,벼과,Diarrhena mandshurica Maxim.
께묵,Asteraceae,국화과,Hololeion maximowiczii Kitam.
꼬랑사초,Cyperaceae,사초과,Carex mira Kük.
꼬리겨우살이,Loranthaceae,꼬리겨우살이과,Loranthus tanakae Franch. & Sav.
꼬리고사리,Aspleniaceae,꼬리고사리과,Asplenium incisum Thunb.
꼬리까치밥나무,Grossulariaceae,까치밥나무과,Ribes komarovii Pojark.
꼬리말발도리,Hydrangeaceae,수국과,Deutzia paniculata Nakai
꼬리벌레잡이제비꽃,Lentibulariaceae,통발과,Pinguicula caudata Schltdl.
꼬리사초,Cyperaceae,사초과,Carex pisiformis Boott
꼬리새,Poaceae,벼과,Bromus remotiflorus (Steud.) Ohwi
꼬리서덜취,Asteraceae,국화과,Saussurea subtriangulata Kom.
꼬리쇠고사리,Dryopteridaceae,관중과,Arachniodes simplicior (Makino) Ohwi
꼬리조팝나무,Rosaceae,장미과,Spiraea salicifolia L.
꼬리족제비고사리,Dryopteridaceae,관중과,Dryopteris formosana (Christ) C.Chr.
꼬리진달래,Ericaceae,진달래과,Rhododendron micranthum Turcz.
꼬리풀,Scrophulariaceae,현삼과,Pseudolysimachion linariifolium (Pall. ex Link) Holub
꼬리호모초,Chenopodiaceae,명아주과,Corispermum platypterum Kitag.
꼬마냉이,Brassicaceae,배추과,Cardamine tanakae Franch. & Sav.
꼬마물봉선,Balsaminaceae,봉선화과,Impatiens violascens B.U.Oh & Y.Y. Kim
꼬마부들,Typhaceae,부들과,Typha laxmannii Lepech.
꼬마수련,Nymphaeaceae,수련과,Nymphaea pygmaea (Salisb.) W.T.Aiton
꼬마은난초,Orchidaceae,난초과,Cephalanthera subaphylla Miyabe & Kudô
꼬인새,Poaceae,벼과,Danthonia spicata (L.) Roem. & Schult.
꼬인용담,Gentianaceae,용담과,Gentianopsis contorta (Royle) Ma
꼭두서니,Rubiaceae,꼭두서니과,Rubia argyi (H.Lév. & Vaniot) H.Hara ex Lauener & D.K.Ferguson
꼭지연잎꿩의다리,Ranunculaceae,미나리아재비과,Thalictrum ichangense Lecoy. ex Oliv.
꼴하늘지기,Cyperaceae,사초과,Fimbristylis tristachya R.Br. var. subbispicata (Nees & Meyen) T.Koyama
꽃가지,Solanaceae,가지과,Solanum melongena 'Golden Eggs'
꽃갈퀴덩굴,Rubiaceae,꼭두서니과,Sherardia arvensis L.
꽃개병꽃나무,Caprifoliaceae,인동과,Dipelta floribunda Maxim.
꽃개오동,Bignoniaceae,능소화과,Catalpa bignonioides Walter
꽃개오동 '아우레아',Bignoniaceae,능소화과,Catalpa bignonioides 'Aurea'
꽃개회나무,Oleaceae,물푸레나무과,Syringa villosa Vahl subsp. wolfii (C.K.Schneid.) Y.Chen & D.Y.Hong
꽃고비,Polemoniaceae,꽃고비과,Polemonium caeruleum L. subsp. kiushianum (Kitam.) H.Hara
꽃골풀,Butomaceae,부토마과,Butomus umbellatus L.
꽃괭이밥,Oxalidaceae,괭이밥과,Oxalis bowiei W.T.Aiton ex G.Don
꽃그령,Poaceae,벼과,Eragrostis spectabilis (Pursh) Steud.
꽃기린,Euphorbiaceae,대극과,Euphorbia milii Des Moul.
꽃꼬리풀 '베이비 돌',Scrophulariaceae,현삼과,Veronica 'Baby Doll'
꽃꼬리풀 '서니 보더 블루',Scrophulariaceae,현삼과,Veronica 'Sunny Border Blue'
꽃꼬리풀 '이블린',Scrophulariaceae,현삼과,Veronica 'Eveline'
꽃꼬리풀 '자일스 밴 히스',Scrophulariaceae,현삼과,Veronica 'Giles Van Hees'
꽃꼬리풀 '페어리테일',Scrophulariaceae,현삼과,Veronica 'Fairytale'
꽃꼬리풀 '푸르플레이키오우스',Scrophulariaceae,현삼과,Veronica 'Purpleicious'
꽃꼬리풀 '화이트 졸란다',Scrophulariaceae,현삼과,Veronica 'White Jolanda'
꽃꿩의다리,Ranunculaceae,미나리아재비과,Thalictrum petaloideum L.
꽃냉이,Brassicaceae,배추과,Cardamine pratensis L.
꽃누리장나무,Verbenaceae,마편초과,Clerodendrum bungei Steud.
꽃누리장나무 '핑크 다이아몬드',Verbenaceae,마편초과,Clerodendrum bungei 'Pink Diamond'
꽃다지,Brassicaceae,배추과,Draba nemorosa L.
꽃단풍,Aceraceae,단풍나무과,Acer pycnanthum K.Koch
꽃담배,Solanaceae,가지과,Nicotiana × sanderae W.Watson
꽃대,Chloranthaceae,홀아비꽃대과,Chloranthus serratus (Thunb.) Roem. & Schult.
꽃댕강나무,Caprifoliaceae,인동과,Abelia × grandiflora (Rovelli ex André) Rehder
꽃댕강나무 '바리에가타',Caprifoliaceae,인동과,Abelia × grandiflora 'Variegata'
꽃댕강나무 '선라이즈',Caprifoliaceae,인동과,Abelia × grandiflora 'Sunrise'
꽃댕강나무 '스헤르워오디',Caprifoliaceae,인동과,Abelia × grandiflora 'Sherwoodii'
꽃댕강나무 '아우레아',Caprifoliaceae,인동과,Abelia × grandiflora 'Aurea'
꽃댕강나무 '에드워드 가우처',Caprifoliaceae,인동과,Abelia × grandiflora 'Edward Goucher'
꽃댕강나무 '콘티',Caprifoliaceae,인동과,Abelia × grandiflora 'Conti'
꽃댕강나무 '프랜시스 메이슨',Caprifoliaceae,인동과,Abelia × grandiflora 'Francis Mason'
꽃도라지,Gentianaceae,용담과,Eustoma grandiflorum (Raf.) Shinners
꽃돌부채 '레드 뷰티',Saxifragaceae,범의귀과,Bergenia 'Red Beauty'
꽃돌부채 '로시 클로세',Saxifragaceae,범의귀과,Bergenia 'Rosi Klose'
꽃돌부채 '베이비 돌',Saxifragaceae,범의귀과,Bergenia 'Baby Doll'
